full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
"The|sweet|grandmother|called|her|helpful,|younger|neighbor",0.31,peele,4.0,1.4142135623730951,strong CoRT,over,laugh,8,low cloze,,,,,,,,,,,,,,,,,
The|toddler|covered|the|walls|with|her|mother's,0.48,peele,4.5,0.5773502691896257,strong CoRT,lipstick,mob,8,low cloze,,,,,,,,,,,,,,,,,
The|toddler|joined|the|puppy|in|playing,0.36,peele,4.2,1.095445115010332,strong CoRT,fetch,wrong,7,low cloze,,,,,,,,,,,,,,,,,
The|tree|root|didn't|budge|when|Tim|tried|to,0.37,peele,4.0,0.0,strong CoRT,pull,storm,9,low cloze,,,,,,,,,,,,,,,,,
The|wolf|blew|the|house|down|with|one|final,0.46,peele,4.4,0.5477225575051662,strong CoRT,blow,beetle,9,low cloze,,,,,,,,,,,,,,,,,
The|wolves|approached|the|campsite|in|a,0.5,peele,4.4,0.5477225575051663,strong CoRT,pack,scary,7,low cloze,,,,,,,,,,,,,,,,,
They|knew|Rob|was|choking|because|he|began|to,0.31,peele,4.0,0.7071067811865476,strong CoRT,cough,blow,9,low cloze,,,,,,,,,,,,,,,,,
Tim|drove|past|numerous|warning|signs|without,0.38,peele,4.0,0.8164965809277259,strong CoRT,stopping,bread,7,low cloze,,,,,,,,,,,,,,,,,
Tim|yawned|because|the|lecture|was,0.41,block_baldwin,4.333333333333333,0.5163977794943222,strong CoRT,boring,deal,6,low cloze,,,,,,,,,,,,,,,,,
"Tired|of|overgrown|branches,|Jackie|used|her|saw|to",0.34,peele,4.0,1.1547005383792517,strong CoRT,cut,seat,9,low cloze,,,,,,,,,,,,,,,,,
To|get|chewing|gum|off|the|floor|she|needs|to,0.43,peele,4.25,0.9574271077563382,strong CoRT,scrape,play,10,low cloze,,,,,,,,,,,,,,,,,
