full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
The|range|of|options|on|the|menu|was|very,0.49,peele,1.75,0.5,strong non-CoRT,limited,crash,9,low cloze,,,,,,,,,,,,,,,,,
The|restaurant|made|millions|with|its|famous|secret,0.49,peele,1.6,0.5477225575051662,strong non-CoRT,recipe,high,8,low cloze,,,,,,,,,,,,,,,,,
The|restaurants|on|the|west|end|were|very,0.44,peele,1.0,0.0,strong non-CoRT,expensive,saddle,8,low cloze,,,,,,,,,,,,,,,,,
The|river|ended|three|hundred|miles|from|its,0.43,block_baldwin,1.1666666666666667,0.40824829046386296,strong non-CoRT,mouth,pan,8,low cloze,,,,,,,,,,,,,,,,,
The|sitcom|repeatedly|used|the|same|running,0.43,peele,1.5,0.5773502691896257,strong non-CoRT,joke,poop,7,low cloze,,,,,,,,,,,,,,,,,
The|stain|was|not,0.45,peele,1.8,1.095445115010332,strong non-CoRT,noticeablespot,wall,4,low cloze,,,,,,,,,,,,,,,,,
The|store|clerk|ended|up|being|an|unknowing,0.37,peele,1.6,0.8944271909999159,strong non-CoRT,accomplice,water,8,low cloze,,,,,,,,,,,,,,,,,
The|student|did|not|think|the|answer|was,0.42,peele,1.6,0.8944271909999159,strong non-CoRT,correct,eye,8,low cloze,,,,,,,,,,,,,,,,,
The|student|discussed|his|research|proposal|with|his,0.45,peele,1.75,0.5,strong non-CoRT,professor,bag,8,low cloze,,,,,,,,,,,,,,,,,
The|students'|preferred|writing|utensil|was|a,0.49,peele,1.5,0.5773502691896257,strong non-CoRT,pencil,house,7,low cloze,,,,,,,,,,,,,,,,,
The|teacher|told|the|students|that|the|homework|was,0.44,peele,2.0,1.1547005383792517,strong non-CoRT,due,gesture,9,low cloze,,,,,,,,,,,,,,,,,
The|teenager|was|nervous|about|having|to,0.34,peele,1.6666666666666667,0.5163977794943223,strong non-CoRT,drive,feat,7,low cloze,,,,,,,,,,,,,,,,,
The|two|opposing|families|had|an|ongoing,0.39,block_baldwin,1.5,0.8366600265340756,strong non-CoRT,feud,real,7,low cloze,,,,,,,,,,,,,,,,,
The|two|young|brothers'|least|favorite|drink|was,0.38,peele,1.6,0.5477225575051661,strong non-CoRT,milk,coat,8,low cloze,,,,,,,,,,,,,,,,,
The|world|would|be|a|more|peaceful|place|without,0.41,peele,2.0,1.4142135623730951,strong non-CoRT,war,wire,9,low cloze,,,,,,,,,,,,,,,,,
The|youth|baseball|team|was|ranked|first|in|the,0.36,peele,1.5,0.5773502691896257,strong non-CoRT,league,fan,9,low cloze,,,,,,,,,,,,,,,,,
They|did|the|lice|treatment|but|they|missed|a,0.5,peele,2.0,0.8164965809277259,strong non-CoRT,spot,tile,9,low cloze,,,,,,,,,,,,,,,,,
They|didn't|agree|with|the|concepts|the|school,0.48,peele,1.2,0.4472135954999579,strong non-CoRT,taught,gamegoal,8,low cloze,,,,,,,,,,,,,,,,,
"They|had|no|news|yet,|so|they|could|only",0.39,peele,1.8,0.8366600265340756,strong non-CoRT,wait,president,9,low cloze,,,,,,,,,,,,,,,,,
They|needed|to|add|more|honey|to|the,0.34,peele,1.8,0.4472135954999579,strong non-CoRT,tea,seed,8,low cloze,,,,,,,,,,,,,,,,,
"Though|gruff|to|his|friends,|Hank|wasn't|to|his",0.39,peele,2.0,1.224744871391589,strong non-CoRT,family,pucker,9,low cloze,,,,,,,,,,,,,,,,,
Timmy|couldn't|wait|to|hang|out|at|the,0.32,peele,1.6,0.5477225575051661,strong non-CoRT,mall,bread,8,low cloze,,,,,,,,,,,,,,,,,
"To|get|rid|of|emotional|clutter,|Will|resolved|to",0.38,peele,1.8,0.8366600265340756,strong non-CoRT,meditate,folk,9,low cloze,,,,,,,,,,,,,,,,,
To|get|the|garden|started|one|can|use,0.32,peele,1.8,0.4472135954999579,strong non-CoRT,seeds,due,8,low cloze,,,,,,,,,,,,,,,,,
"To|maximize|profits,|the|companies|decided|to",0.37,peele,1.5,0.5773502691896257,strong non-CoRT,merge,hoarse,7,low cloze,,,,,,,,,,,,,,,,,
Too|many|men|are|out|of,0.26,block_baldwin,1.0,0.0,strong non-CoRT,work,fight,6,low cloze,,,,,,,,,,,,,,,,,
Unfortunately|the|mission|turned|out|to|be|a,0.47,peele,1.6,0.8944271909999159,strong non-CoRT,failure,championship,8,low cloze,,,,,,,,,,,,,,,,,
What|that|old|house|really|needs|is|a|new,0.4,peele,1.3333333333333333,0.5163977794943223,strong non-CoRT,roof,boat,9,low cloze,,,,,,,,,,,,,,,,,
When|Tucker|takes|a|nap|he|sleeps|on|the,0.42,peele,2.0,0.8164965809277259,strong non-CoRT,couch,light,9,low cloze,,,,,,,,,,,,,,,,,
"When|fishing,|Reese|always|used|his|lucky",0.32,peele,1.6,0.5477225575051661,strong non-CoRT,lure,rides,7,low cloze,,,,,,,,,,,,,,,,,
When|he|made|mistakes|he|said|it|was|bad,0.42,peele,2.0,1.224744871391589,strong non-CoRT,luck,shop,9,low cloze,,,,,,,,,,,,,,,,,
When|she|retired|the|CEO|would|live|on|a,0.38,peele,1.2,0.4472135954999579,strong non-CoRT,pension,lice,9,low cloze,,,,,,,,,,,,,,,,,
"When|the|manager|leaves,|the|office|is|under|Liam's",0.49,peele,1.5,0.8366600265340756,strong non-CoRT,control,stress,9,low cloze,,,,,,,,,,,,,,,,,
"When|upset,|the|child|was|not|easy|to",0.31,peele,2.0,0.6324555320336759,strong non-CoRT,calm,steal,8,low cloze,,,,,,,,,,,,,,,,,
"While|in|the|city,|Amanda|didn't|feel",0.45,peele,2.0,1.4142135623730951,strong non-CoRT,safe,broom,7,low cloze,,,,,,,,,,,,,,,,,
