,display,break,index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
64,trial,,63.0,After|missing|lunch|Harry|badly|needed|some,0.84,peele,2.0,1.4142135623730951,strong non-CoRT,food,fall,7.0,high cloze,easy,False,True,food,right,0.5,300.0,7.0,1.0,1.0,500.0,7000.0,1.0
65,break,# Well done! You got $${percent_correct}% correct!,,,,,,,,,,,,,,,,,,,,,,,,
0,trial,,0.0,The|teacher|was|afraid|of|germs|and|getting,0.92,peele,1.8,1.3038404810405295,strong non-CoRT,sick,mutt,8.0,high cloze,easy,True,False,mutt,right,0.5,270.0,7.0,1.0,2.0,500.0,7000.0,2.0
1,trial,,1.0,The|man|presented|his|new|fiancée|with|an|expensive,0.81,block_baldwin,4.0,1.4142135623730951,strong CoRT,ring,due,9.0,high cloze,easy,True,False,due,right,0.5,0.0,7.0,1.0,2.0,500.0,7000.0,2.0
2,trial,,2.0,At|almost|every|local|bar|Frank|has|a,0.39,peele,2.0,1.0,strong non-CoRT,tab,man,8.0,low cloze,hard,False,True,tab,right,0.5,375.0,7.0,1.0,2.0,500.0,7000.0,2.0
3,trial,,3.0,The|vacuum's|defects|affected|its|ability|to,0.38,peele,1.0,0.0,strong non-CoRT,clean,year,7.0,low cloze,hard,False,True,clean,right,0.5,442.5,7.0,1.0,2.0,500.0,7000.0,2.0
4,trial,,4.0,Rachel|missed|her|appointment|after|writing|down|the|wrong,0.36,peele,4.0,1.0,strong CoRT,address,charge,9.0,low cloze,hard,False,True,address,right,0.5,172.5,7.0,1.0,2.0,500.0,7000.0,2.0
5,trial,,5.0,For|a|runner|Ted|is|rather,0.5,block_baldwin,1.8333333333333333,1.1690451944500122,strong non-CoRT,slow,hook,6.0,low cloze,hard,True,False,hook,right,0.5,390.0,7.0,1.0,2.0,500.0,7000.0,2.0
6,trial,,6.0,Jamie|preferred|to|use|cooking|foil|made|of,0.81,peele,1.5,1.0,strong non-CoRT,aluminum,gang,8.0,high cloze,easy,False,True,aluminum,right,0.5,262.5,7.0,1.0,2.0,500.0,7000.0,2.0
7,trial,,7.0,Ann|felt|overwhelmed|by|feelings|of|distress|she|couldn't,0.33,peele,4.0,0.8164965809277259,strong CoRT,shake,lettuce,9.0,low cloze,hard,True,False,lettuce,right,0.5,210.0,7.0,1.0,2.0,500.0,7000.0,2.0
8,trial,,8.0,Spaghetti|is|the|girl's|favorite|type|of,0.49,peele,1.6,0.5477225575051661,strong non-CoRT,food,tang,7.0,low cloze,hard,True,False,tang,right,0.5,397.5,7.0,1.0,2.0,500.0,7000.0,2.0
9,trial,,9.0,"John|felt|sorry,|but|it|was|not|his",0.91,block_baldwin,1.7142857142857142,1.4960264830861911,strong non-CoRT,fault,break,8.0,high cloze,easy,True,False,break,right,0.5,240.0,7.0,1.0,2.0,500.0,7000.0,2.0
10,trial,,10.0,After|she|bought|the|dress|she|ripped|off|its,0.81,peele,4.8,0.44721359549995787,strong CoRT,tag,smart,9.0,high cloze,easy,False,True,tag,right,0.5,7.5,7.0,1.0,2.0,500.0,7000.0,2.0
11,trial,,11.0,"The|toddler|enjoyed|feeding|bread|to|the|fat,|white",0.5,peele,4.5,0.5773502691896257,strong CoRT,duck,lobe,9.0,low cloze,hard,False,True,duck,right,0.5,225.0,7.0,1.0,2.0,500.0,7000.0,2.0
12,trial,,12.0,The,0.91,peele,2.0,1.1547005383792517,strong non-CoRT,awardcrust,fly,1.0,high cloze,easy,False,True,awardcrust,right,0.5,345.0,7.0,1.0,2.0,500.0,7000.0,2.0
13,trial,,13.0,The|baby's|ice|cream|was|snatched|up|by|the,0.47,peele,4.5,0.5773502691896257,strong CoRT,dog,time,9.0,low cloze,hard,False,True,dog,right,0.5,202.5,7.0,1.0,2.0,500.0,7000.0,2.0
14,trial,,14.0,The|farmer|spend|the|morning|milking|his,0.94,block_baldwin,4.285714285714286,1.4960264830861911,strong CoRT,cows,legs,7.0,high cloze,easy,True,False,legs,right,0.5,67.5,7.0,1.0,2.0,500.0,7000.0,2.0
15,trial,,15.0,The|thief|ran|by|and|snatched|the|lady’s,0.87,block_baldwin,4.428571428571429,1.5118578920369088,strong CoRT,purse,gym,8.0,high cloze,easy,False,True,purse,right,0.5,75.0,7.0,1.0,2.0,500.0,7000.0,2.0
16,trial,,16.0,She|threw|away|the|old|paper|in|the,0.89,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,trash,knot,8.0,high cloze,easy,False,True,trash,right,0.5,97.5,7.0,1.0,2.0,500.0,7000.0,2.0
17,trial,,17.0,They|believe|the|most|pious|man|is|the,0.38,peele,2.0,1.4142135623730951,strong non-CoRT,pope,woman,8.0,low cloze,hard,True,False,woman,right,0.5,450.0,7.0,1.0,2.0,500.0,7000.0,2.0
18,trial,,18.0,"After|returning|home,|Sharon|hung|her|jacket|on|the",0.43,peele,4.8,0.44721359549995787,strong CoRT,hook,live,9.0,low cloze,hard,False,True,hook,right,0.5,217.5,7.0,1.0,2.0,500.0,7000.0,2.0
19,trial,,19.0,Meg|hated|that|cleaning|the|bathroom|was|her,0.47,peele,1.75,0.9574271077563382,strong non-CoRT,chore,do,8.0,low cloze,hard,False,True,chore,right,0.5,405.0,7.0,1.0,2.0,500.0,7000.0,2.0
20,trial,,20.0,The|captain|steered|the|ship|and|narrowly|avoided|the,0.34,peele,4.75,0.4999999999999999,strong CoRT,iceberg,arm,9.0,low cloze,hard,False,True,iceberg,right,0.5,127.5,7.0,1.0,2.0,500.0,7000.0,2.0
21,trial,,21.0,Many|women|are|very|conscious|of|their,0.32,peele,1.4,0.5477225575051662,strong non-CoRT,weight,choke,7.0,low cloze,hard,False,True,weight,right,0.5,465.0,7.0,1.0,2.0,500.0,7000.0,2.0
