,display,break,index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms
43,trial,,43.0,The|fisherman|easily|put|the|bait|on|the,0.93,peele,4.4,0.5477225575051661,strong CoRT,hook,job,8.0,high cloze,easy,True,job,right,0.5,97.5,7.0,1.0,4.0,500.0,7000.0
44,trial,,44.0,There|was|not|room|for|the|triplets|in|the,0.34,peele,2.0,0.8164965809277259,strong non-CoRT,car,train,9.0,low cloze,hard,False,car,right,0.5,397.5,7.0,1.0,4.0,500.0,7000.0
45,trial,,45.0,A|large|stone|blocked|the|entrance|to|the|,0.36,block_baldwin,1.6666666666666667,1.0327955589886446,strong non-CoRT,cave,back,9.0,low cloze,hard,True,back,right,0.5,375.0,7.0,1.0,4.0,500.0,7000.0
46,trial,,46.0,The|kids|were|gullible|and|therefore|easy|to,0.45,peele,2.0,0.7071067811865476,strong non-CoRT,fool,man,8.0,low cloze,hard,False,fool,right,0.5,442.5,7.0,1.0,4.0,500.0,7000.0
47,trial,,47.0,"After|driving|over|sharp|glass,|Ronald|had|a|flat",1.0,peele,4.4,0.8944271909999159,strong CoRT,tire,loan,9.0,high cloze,easy,False,tire,right,0.5,112.5,7.0,1.0,4.0,500.0,7000.0
48,trial,,48.0,"She|didn't|give|him|a|long|kiss,|just|a",0.87,peele,4.0,0.0,strong CoRT,peck,water,9.0,high cloze,easy,True,water,right,0.5,90.0,7.0,1.0,4.0,500.0,7000.0
49,trial,,49.0,Ellen|replaced|the|fuse|that|no|longer,0.86,block_baldwin,4.142857142857143,0.8997354108424375,strong CoRT,worked,bite,7.0,high cloze,easy,False,worked,right,0.5,52.5,7.0,1.0,4.0,500.0,7000.0
50,trial,,50.0,It|is|important|for|swimmers|to|learn|how|to,0.34,peele,1.25,0.5,strong non-CoRT,float,relax,9.0,low cloze,hard,True,relax,right,0.5,435.0,7.0,1.0,4.0,500.0,7000.0
51,trial,,51.0,Elle|let|out|her|frustration|in|a|big,0.47,peele,4.2,0.8366600265340756,strong CoRT,sigh,diet,8.0,low cloze,hard,False,sigh,right,0.5,225.0,7.0,1.0,4.0,500.0,7000.0
52,trial,,52.0,France|is|a|country|that|is|famous|for,0.31,peele,2.0,1.7320508075688772,strong non-CoRT,wine,cave,8.0,low cloze,hard,False,wine,right,0.5,360.0,7.0,1.0,4.0,500.0,7000.0
53,trial,,53.0,Tim|drove|past|numerous|warning|signs|without,0.38,peele,4.0,0.8164965809277259,strong CoRT,stopping,bread,7.0,low cloze,hard,False,stopping,right,0.5,202.5,7.0,1.0,4.0,500.0,7000.0
54,trial,,54.0,The|princess|would|someday|become|a,0.93,block_baldwin,1.4285714285714286,0.7867957924694432,strong non-CoRT,queen,anger,6.0,high cloze,easy,False,queen,right,0.5,292.5,7.0,1.0,4.0,500.0,7000.0
55,trial,,55.0,Many|brunettes|like|to|dye|their|hair,0.86,block_baldwin,1.8571428571428568,0.8997354108424375,strong non-CoRT,blonde,collapsed,7.0,high cloze,easy,True,collapsed,right,0.5,270.0,7.0,1.0,4.0,500.0,7000.0
56,trial,,56.0,The|baseball|hit|the|batter's|chest|and|broke|his,0.7,peele,4.5,0.5773502691896257,strong CoRT,ribs,bat,9.0,high cloze,easy,False,ribs,right,0.5,60.0,7.0,1.0,4.0,500.0,7000.0
57,trial,,57.0,The|baby's|face|puckered|when|she|ate|something,0.94,peele,4.5,0.5477225575051661,strong CoRT,sour,punch,8.0,high cloze,easy,True,punch,right,0.5,67.5,7.0,1.0,4.0,500.0,7000.0
58,trial,,58.0,The|cranky|neighbor|yelled|at|the|kids|to,0.4,peele,4.0,1.2649110640673518,strong CoRT,stop,thought,8.0,low cloze,hard,True,thought,right,0.5,120.0,7.0,1.0,4.0,500.0,7000.0
59,trial,,59.0,She|bought|the|pants|only|because|they|were,0.48,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,cheap,fire,8.0,low cloze,hard,False,cheap,right,0.5,405.0,7.0,1.0,4.0,500.0,7000.0
60,trial,,60.0,The|roommates|agreed|to|split|the|rent|in,0.73,block_baldwin,2.0,1.5491933384829668,strong non-CoRT,half,rot,8.0,high cloze,easy,False,half,right,0.5,285.0,7.0,1.0,4.0,500.0,7000.0
61,trial,,61.0,Be|careful|not|to|touch|the|pan|when|it's,0.99,peele,1.0,0.0,strong non-CoRT,hot,pope,9.0,high cloze,easy,False,hot,right,0.5,352.5,7.0,1.0,4.0,500.0,7000.0
62,trial,,62.0,"After|Ashley|left|the|bananas|out,|they|turned|to",0.71,peele,4.0,0.0,strong CoRT,mush,milk,9.0,high cloze,easy,False,mush,right,0.5,105.0,7.0,1.0,4.0,500.0,7000.0
63,trial,,63.0,It’s|hard|to|admit|when|one|is|,0.78,block_baldwin,2.0,1.4142135623730951,strong non-CoRT,wrong,year,8.0,high cloze,easy,False,wrong,right,0.5,262.5,7.0,1.0,4.0,500.0,7000.0
64,break,# Well done! You got $${percent_correct}% correct!,,,,,,,,,,,,,,,,,,,,,,
0,trial,,0.0,France|is|a|country|that|is|famous|for,0.31,peele,2.0,1.7320508075688772,strong non-CoRT,wine,cave,8.0,low cloze,hard,True,cave,right,0.5,457.5,7.0,1.0,5.0,500.0,7000.0
1,trial,,1.0,The|thief|ran|by|and|snatched|the|lady’s,0.87,block_baldwin,4.428571428571429,1.5118578920369088,strong CoRT,purse,gym,8.0,high cloze,easy,False,purse,right,0.5,52.5,7.0,1.0,5.0,500.0,7000.0
2,trial,,2.0,They|threw|eggs|at|Barry|but|he|knew|to,0.75,peele,4.75,0.5,strong CoRT,duck,mud,9.0,high cloze,easy,True,mud,right,0.5,0.0,7.0,1.0,5.0,500.0,7000.0
3,trial,,3.0,Jesse|was|recognized|for|always|wearing|a,0.35,peele,1.75,0.957427107756338,strong non-CoRT,hat,letter,7.0,low cloze,hard,False,hat,right,0.5,465.0,7.0,1.0,5.0,500.0,7000.0
4,trial,,4.0,She|lived|in|sunny|Florida|and|never|saw|falling,0.72,block_baldwin,1.8333333333333333,0.7527726527090809,strong non-CoRT,snow,beach,9.0,high cloze,easy,False,snow,right,0.5,292.5,7.0,1.0,5.0,500.0,7000.0
5,trial,,5.0,"To|prepare|his|fields|for|planting,|Blake|began|to",0.38,peele,4.0,1.0,strong CoRT,plow,weave,9.0,low cloze,hard,False,plow,right,0.5,180.0,7.0,1.0,5.0,500.0,7000.0
6,trial,,6.0,Without|food|a|man|would|die|in|several,0.74,block_baldwin,2.0,1.095445115010332,strong non-CoRT,days,bun,8.0,high cloze,easy,True,bun,right,0.5,300.0,7.0,1.0,5.0,500.0,7000.0
7,trial,,7.0,Karen|lost|lots|of|money|after|losing|a|foolish,0.97,peele,1.8,0.4472135954999579,strong non-CoRT,bet,mower,9.0,high cloze,easy,False,bet,right,0.5,240.0,7.0,1.0,5.0,500.0,7000.0
8,trial,,8.0,She|did|not|have|the|right|key|for|the|,0.44,block_baldwin,1.1666666666666667,0.40824829046386296,strong non-CoRT,lock,blood,10.0,low cloze,hard,False,lock,right,0.5,397.5,7.0,1.0,5.0,500.0,7000.0
9,trial,,9.0,"John|felt|sorry,|but|it|was|not|his",0.91,block_baldwin,1.7142857142857142,1.4960264830861911,strong non-CoRT,fault,break,8.0,high cloze,easy,True,break,right,0.5,255.0,7.0,1.0,5.0,500.0,7000.0
